,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,スチーマーライン(フロント),スチーマーライン(ロスト),スチーマーライン(ハーバー),レールウェイ(フロント),スチーマーライン(ポート),ビッグシティ・ヴィークル,曜日_数値,休日
184,2021-02-04 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
185,2021-02-04 19:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
186,2021-02-04 19:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
187,2021-02-04 19:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
188,2021-02-04 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
189,2021-02-04 20:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
190,2021-02-04 20:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
191,2021-02-04 20:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
192,2021-02-05 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
193,2021-02-05 09:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
194,2021-02-05 09:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
195,2021-02-05 09:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
196,2021-02-05 10:00:00,0,0,5,0,5,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,4,0
197,2021-02-05 10:15:00,0,10,5,0,5,5,0,0,0,15,0,0,0,0,5,5,0,5,0,0,0,5,5,0,0,0,4,0
198,2021-02-05 10:30:00,0,20,5,10,5,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,0,5,5,0,0,0,4,0
199,2021-02-05 10:45:00,0,15,10,10,10,5,0,0,0,20,0,0,5,0,5,5,0,5,0,0,0,5,5,0,0,0,4,0
200,2021-02-05 11:00:00,0,15,5,10,20,5,30,10,0,10,10,0,5,5,5,5,5,5,0,5,0,5,5,0,0,0,4,0
201,2021-02-05 11:15:00,0,10,5,5,10,5,20,10,0,10,10,0,5,5,5,5,5,5,5,5,0,5,5,0,0,0,4,0
202,2021-02-05 11:30:00,0,5,5,5,5,5,5,10,0,5,10,0,5,5,5,5,5,5,5,5,0,5,5,0,0,0,4,0
203,2021-02-05 11:45:00,0,5,5,5,5,5,25,10,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,4,0
204,2021-02-05 12:00:00,0,5,5,5,5,5,5,10,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,4,0
205,2021-02-05 12:15:00,0,5,5,5,5,5,25,10,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,0
206,2021-02-05 12:30:00,0,5,5,5,5,5,10,10,0,5,10,0,5,5,5,5,5,5,5,5,0,0,0,0,0,5,4,0
207,2021-02-05 12:45:00,0,5,5,5,5,5,30,10,0,5,10,0,5,5,5,5,5,5,5,5,0,0,0,0,0,5,4,0
208,2021-02-05 13:00:00,0,5,5,5,5,5,15,10,0,0,10,0,5,5,5,5,5,5,5,5,0,0,0,0,0,5,4,0
209,2021-02-05 13:15:00,0,5,5,5,5,5,30,5,0,0,10,0,5,5,5,5,5,5,5,5,0,0,0,0,0,5,4,0
210,2021-02-05 13:30:00,5,5,5,5,15,5,20,5,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,0
211,2021-02-05 13:45:00,5,5,5,5,5,5,5,5,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,0
